idx,root_ar,root_translit,core_meaning,batch1,batch2,batch3
65,ب د أ,b-d-ʾ,beginning,"[{""word"": ""بدأ"", ""voweled"": ""بَدَأَ"", ""en"": ""to begin""}, {""word"": ""بداية"", ""voweled"": ""بِدَايَة"", ""en"": ""beginning"", ""plural"": {""word"": ""بدايات"", ""voweled"": ""بِدَايَات""}}, {""word"": ""مبدأ"", ""voweled"": ""مَبْدَأ"", ""en"": ""principle"", ""plural"": {""word"": ""مبادئ"", ""voweled"": ""مَبَادِئ""}}, {""word"": ""مبتدئ"", ""voweled"": ""مُبْتَدِئ"", ""en"": ""beginner"", ""plural"": {""word"": ""مبتدئون"", ""voweled"": ""مُبْتَدِئُون""}}, {""word"": ""ابتدائي"", ""voweled"": ""اِبْتِدَائِيّ"", ""en"": ""elementary; primary""}]","[{""word"": ""بدء"", ""voweled"": ""بَدْء"", ""en"": ""start; commencement""}, {""word"": ""مبدئي"", ""voweled"": ""مَبْدَئِيّ"", ""en"": ""preliminary; principled""}, {""word"": ""بدائي"", ""voweled"": ""بِدَائِيّ"", ""en"": ""primitive""}]",[]
66,ن ه ي,n-h-y,"ending, forbidding","[{""word"": ""نهاية"", ""voweled"": ""نِهَايَة"", ""en"": ""end"", ""plural"": {""word"": ""نهايات"", ""voweled"": ""نِهَايَات""}}, {""word"": ""نهائي"", ""voweled"": ""نِهَائِيّ"", ""en"": ""final""}, {""word"": ""انتهى"", ""voweled"": ""اِنْتَهَى"", ""en"": ""to end""}, {""word"": ""انتهاء"", ""voweled"": ""اِنْتِهَاء"", ""en"": ""expiration""}, {""word"": ""نهي"", ""voweled"": ""نَهْي"", ""en"": ""prohibition""}]",[],[]
67,ت م م,t-m-m,completing,"[{""word"": ""تم"", ""voweled"": ""تَمَّ"", ""en"": ""to be completed""}, {""word"": ""تمام"", ""voweled"": ""تَمَام"", ""en"": ""completeness""}, {""word"": ""إتمام"", ""voweled"": ""إِتْمَام"", ""en"": ""completion""}, {""word"": ""متمم"", ""voweled"": ""مُتَمِّم"", ""en"": ""complementary""}, {""word"": ""تماما"", ""voweled"": ""تَمَامًا"", ""en"": ""exactly; completely""}]","[{""word"": ""تتمة"", ""voweled"": ""تَتِمَّة"", ""en"": ""continuation; remainder""}, {""word"": ""تميمة"", ""voweled"": ""تَمِيمَة"", ""en"": ""amulet"", ""plural"": {""word"": ""تمائم"", ""voweled"": ""تَمَائِم""}}]",[]
68,ب ق ي,b-q-y,remaining,"[{""word"": ""بقي"", ""voweled"": ""بَقِيَ"", ""en"": ""to remain""}, {""word"": ""بقاء"", ""voweled"": ""بَقَاء"", ""en"": ""survival; staying""}, {""word"": ""باقي"", ""voweled"": ""بَاقِي"", ""en"": ""remainder""}, {""word"": ""بقية"", ""voweled"": ""بَقِيَّة"", ""en"": ""rest; remainder""}, {""word"": ""متبقي"", ""voweled"": ""مُتَبَقِّي"", ""en"": ""remaining""}]","[{""word"": ""إبقاء"", ""voweled"": ""إِبْقَاء"", ""en"": ""keeping; retention""}]",[]
69,ز و ل,z-w-l,"ceasing, removal","[{""word"": ""زال"", ""voweled"": ""زَالَ"", ""en"": ""to cease""}, {""word"": ""زوال"", ""voweled"": ""زَوَال"", ""en"": ""disappearance; decline""}, {""word"": ""إزالة"", ""voweled"": ""إِزَالَة"", ""en"": ""removal""}, {""word"": ""لا يزال"", ""voweled"": ""لَا يَزَال"", ""en"": ""still; continues to""}, {""word"": ""مزيل"", ""voweled"": ""مُزِيل"", ""en"": ""remover""}]","[{""word"": ""زائل"", ""voweled"": ""زَائِل"", ""en"": ""transient; fleeting""}]",[]
70,ص ب ح,ṣ-b-ḥ,"morning, becoming","[{""word"": ""صباح"", ""voweled"": ""صَبَاح"", ""en"": ""morning""}, {""word"": ""أصبح"", ""voweled"": ""أَصْبَحَ"", ""en"": ""to become""}, {""word"": ""مصباح"", ""voweled"": ""مِصْبَاح"", ""en"": ""lamp"", ""plural"": {""word"": ""مصابيح"", ""voweled"": ""مَصَابِيح""}}, {""word"": ""صباحا"", ""voweled"": ""صَبَاحًا"", ""en"": ""in the morning""}, {""word"": ""صبح"", ""voweled"": ""صُبْح"", ""en"": ""dawn""}]","[{""word"": ""صباحي"", ""voweled"": ""صَبَاحِيّ"", ""en"": ""morning (adj.)""}]",[]
71,ل ي ل,l-y-l,night,"[{""word"": ""ليل"", ""voweled"": ""لَيْل"", ""en"": ""night(time)""}, {""word"": ""ليلة"", ""voweled"": ""لَيْلَة"", ""en"": ""a night"", ""plural"": {""word"": ""ليالي"", ""voweled"": ""لَيَالٍ""}}, {""word"": ""ليلي"", ""voweled"": ""لَيْلِيّ"", ""en"": ""nocturnal""}, {""word"": ""ليلا"", ""voweled"": ""لَيْلًا"", ""en"": ""at night""}]",[],[]
72,ع د د,ʿ-d-d,"counting, number","[{""word"": ""عدد"", ""voweled"": ""عَدَد"", ""en"": ""number"", ""plural"": {""word"": ""أعداد"", ""voweled"": ""أَعْدَاد""}}, {""word"": ""تعداد"", ""voweled"": ""تَعْدَاد"", ""en"": ""census; enumeration""}, {""word"": ""إعداد"", ""voweled"": ""إِعْدَاد"", ""en"": ""preparation""}, {""word"": ""استعداد"", ""voweled"": ""اِسْتِعْدَاد"", ""en"": ""readiness""}, {""word"": ""متعدد"", ""voweled"": ""مُتَعَدِّد"", ""en"": ""multiple""}]","[{""word"": ""عدة"", ""voweled"": ""عِدَّة"", ""en"": ""several""}, {""word"": ""عداد"", ""voweled"": ""عَدَّاد"", ""en"": ""counter; meter"", ""plural"": {""word"": ""عدادات"", ""voweled"": ""عَدَّادَات""}}, {""word"": ""معدات"", ""voweled"": ""مُعَدَّات"", ""en"": ""equipment""}, {""word"": ""إعدادي"", ""voweled"": ""إِعْدَادِيّ"", ""en"": ""preparatory""}]",[]
73,ح س ب,ḥ-s-b,"calculating, accounting","[{""word"": ""حسب"", ""voweled"": ""حَسَبَ"", ""en"": ""to calculate"", ""accept"": [""حَسَبَ"", ""حَسْب""]}, {""word"": ""حساب"", ""voweled"": ""حِسَاب"", ""en"": ""account; arithmetic"", ""plural"": {""word"": ""حسابات"", ""voweled"": ""حِسَابَات""}}, {""word"": ""حاسوب"", ""voweled"": ""حَاسُوب"", ""en"": ""computer"", ""plural"": {""word"": ""حواسيب"", ""voweled"": ""حَوَاسِيب""}}, {""word"": ""محاسب"", ""voweled"": ""مُحَاسِب"", ""en"": ""accountant"", ""plural"": {""word"": ""محاسبون"", ""voweled"": ""مُحَاسِبُون""}}, {""word"": ""حسب"", ""voweled"": ""حَسْب"", ""en"": ""according to"", ""accept"": [""حَسَبَ"", ""حَسْب""]}]","[{""word"": ""محاسبة"", ""voweled"": ""مُحَاسَبَة"", ""en"": ""accounting; holding to account""}, {""word"": ""حاسبة"", ""voweled"": ""حَاسِبَة"", ""en"": ""calculator""}]",[]
74,ك م ل,k-m-l,"completing, perfecting","[{""word"": ""كامل"", ""voweled"": ""كَامِل"", ""en"": ""complete""}, {""word"": ""كمال"", ""voweled"": ""كَمَال"", ""en"": ""perfection""}, {""word"": ""إكمال"", ""voweled"": ""إِكْمَال"", ""en"": ""completion""}, {""word"": ""تكامل"", ""voweled"": ""تَكَامُل"", ""en"": ""integration""}, {""word"": ""مكمل"", ""voweled"": ""مُكَمِّل"", ""en"": ""supplement; complementary""}]","[{""word"": ""اكتمال"", ""voweled"": ""اِكْتِمَال"", ""en"": ""completion; fullness""}, {""word"": ""تكملة"", ""voweled"": ""تَكْمِلَة"", ""en"": ""supplement; continuation""}]",[]
75,ج م ع,j-m-ʿ,gathering,"[{""word"": ""جمع"", ""voweled"": ""جَمَعَ"", ""en"": ""to gather"", ""accept"": [""جَمَعَ"", ""جَمْع""]}, {""word"": ""جمعة"", ""voweled"": ""جُمْعَة"", ""en"": ""Friday""}, {""word"": ""جماعة"", ""voweled"": ""جَمَاعَة"", ""en"": ""group"", ""plural"": {""word"": ""جماعات"", ""voweled"": ""جَمَاعَات""}}, {""word"": ""مجتمع"", ""voweled"": ""مُجْتَمَع"", ""en"": ""society"", ""plural"": {""word"": ""مجتمعات"", ""voweled"": ""مُجْتَمَعَات""}}, {""word"": ""جامعة"", ""voweled"": ""جَامِعَة"", ""en"": ""university"", ""plural"": {""word"": ""جامعات"", ""voweled"": ""جَامِعَات""}}]","[{""word"": ""اجتماع"", ""voweled"": ""اِجْتِمَاع"", ""en"": ""meeting"", ""plural"": {""word"": ""اجتماعات"", ""voweled"": ""اِجْتِمَاعَات""}}, {""word"": ""مجموعة"", ""voweled"": ""مَجْمُوعَة"", ""en"": ""collection; set"", ""plural"": {""word"": ""مجموعات"", ""voweled"": ""مَجْمُوعَات""}}, {""word"": ""جامع"", ""voweled"": ""جَامِع"", ""en"": ""mosque"", ""plural"": {""word"": ""جوامع"", ""voweled"": ""جَوَامِع""}}, {""word"": ""جمع"", ""voweled"": ""جَمْع"", ""en"": ""plural; gathering"", ""accept"": [""جَمَعَ"", ""جَمْع""]}, {""word"": ""إجماع"", ""voweled"": ""إِجْمَاع"", ""en"": ""consensus""}]","[{""word"": ""جمعية"", ""voweled"": ""جَمْعِيَّة"", ""en"": ""association"", ""plural"": {""word"": ""جمعيات"", ""voweled"": ""جَمْعِيَّات""}}, {""word"": ""مجمع"", ""voweled"": ""مُجَمَّع"", ""en"": ""complex (buildings)"", ""plural"": {""word"": ""مجمعات"", ""voweled"": ""مُجَمَّعَات""}}]"
76,ف ر ق,f-r-q,"separating, difference","[{""word"": ""فرق"", ""voweled"": ""فَرْق"", ""en"": ""difference"", ""plural"": {""word"": ""فروق"", ""voweled"": ""فُرُوق""}}, {""word"": ""فريق"", ""voweled"": ""فَرِيق"", ""en"": ""team""}, {""word"": ""فرقة"", ""voweled"": ""فِرْقَة"", ""en"": ""band; troupe""}, {""word"": ""تفريق"", ""voweled"": ""تَفْرِيق"", ""en"": ""separation""}, {""word"": ""مفترق"", ""voweled"": ""مُفْتَرَق"", ""en"": ""crossroads""}]","[{""word"": ""متفرق"", ""voweled"": ""مُتَفَرِّق"", ""en"": ""scattered""}, {""word"": ""فارق"", ""voweled"": ""فَارِق"", ""en"": ""distinction; gap""}, {""word"": ""فراق"", ""voweled"": ""فِرَاق"", ""en"": ""parting; separation""}, {""word"": ""مفارقة"", ""voweled"": ""مُفَارَقَة"", ""en"": ""paradox; irony""}]",[]
77,ج د د,j-d-d,"being new, renewing","[{""word"": ""جديد"", ""voweled"": ""جَدِيد"", ""en"": ""new""}, {""word"": ""تجديد"", ""voweled"": ""تَجْدِيد"", ""en"": ""renewal""}, {""word"": ""جد"", ""voweled"": ""جَدّ"", ""en"": ""grandfather"", ""plural"": {""word"": ""أجداد"", ""voweled"": ""أَجْدَاد""}}, {""word"": ""جدة"", ""voweled"": ""جَدَّة"", ""en"": ""grandmother"", ""plural"": {""word"": ""جدات"", ""voweled"": ""جَدَّات""}, ""accept"": [""جَدَّة"", ""جِدَّة""]}, {""word"": ""جدي"", ""voweled"": ""جِدِّيّ"", ""en"": ""serious""}]","[{""word"": ""جدا"", ""voweled"": ""جِدًّا"", ""en"": ""very""}, {""word"": ""جدة"", ""voweled"": ""جِدَّة"", ""en"": ""novelty"", ""accept"": [""جَدَّة"", ""جِدَّة""]}, {""word"": ""متجدد"", ""voweled"": ""مُتَجَدِّد"", ""en"": ""renewable; recurring""}]",[]
78,ق د م,q-d-m,"advancing, being old","[{""word"": ""قديم"", ""voweled"": ""قَدِيم"", ""en"": ""old""}, {""word"": ""قدم"", ""voweled"": ""قَدَم"", ""en"": ""foot"", ""plural"": {""word"": ""أقدام"", ""voweled"": ""أَقْدَام""}}, {""word"": ""تقدم"", ""voweled"": ""تَقَدُّم"", ""en"": ""progress""}, {""word"": ""مقدمة"", ""voweled"": ""مُقَدِّمَة"", ""en"": ""introduction"", ""plural"": {""word"": ""مقدمات"", ""voweled"": ""مُقَدِّمَات""}}, {""word"": ""قادم"", ""voweled"": ""قَادِم"", ""en"": ""coming; next""}]","[{""word"": ""تقديم"", ""voweled"": ""تَقْدِيم"", ""en"": ""presentation; offering""}, {""word"": ""قدوم"", ""voweled"": ""قُدُوم"", ""en"": ""arrival; coming""}, {""word"": ""متقدم"", ""voweled"": ""مُتَقَدِّم"", ""en"": ""advanced; applicant""}]",[]
79,ب ع د,b-ʿ-d,"being far, after","[{""word"": ""بعد"", ""voweled"": ""بَعْد"", ""en"": ""after"", ""accept"": [""بَعْد"", ""بُعْد""]}, {""word"": ""بعيد"", ""voweled"": ""بَعِيد"", ""en"": ""far""}, {""word"": ""بعد"", ""voweled"": ""بُعْد"", ""en"": ""distance; dimension"", ""plural"": {""word"": ""أبعاد"", ""voweled"": ""أَبْعَاد""}, ""accept"": [""بَعْد"", ""بُعْد""]}, {""word"": ""استبعاد"", ""voweled"": ""اِسْتِبْعَاد"", ""en"": ""exclusion""}, {""word"": ""ابتعاد"", ""voweled"": ""اِبْتِعَاد"", ""en"": ""moving away; distancing""}]",[],[]
80,ق ر ب,q-r-b,being near,"[{""word"": ""قريب"", ""voweled"": ""قَرِيب"", ""en"": ""near; relative"", ""plural"": {""word"": ""أقارب"", ""voweled"": ""أَقَارِب""}}, {""word"": ""قرب"", ""voweled"": ""قُرْب"", ""en"": ""nearness""}, {""word"": ""تقريبا"", ""voweled"": ""تَقْرِيبًا"", ""en"": ""approximately""}, {""word"": ""اقتراب"", ""voweled"": ""اِقْتِرَاب"", ""en"": ""approach""}, {""word"": ""قارب"", ""voweled"": ""قَارِب"", ""en"": ""boat"", ""plural"": {""word"": ""قوارب"", ""voweled"": ""قَوَارِب""}}]","[{""word"": ""قرابة"", ""voweled"": ""قَرَابَة"", ""en"": ""kinship""}, {""word"": ""تقارب"", ""voweled"": ""تَقَارُب"", ""en"": ""rapprochement; convergence""}, {""word"": ""مقرب"", ""voweled"": ""مُقَرَّب"", ""en"": ""close (person); confidant""}]",[]
81,ر ف ع,r-f-ʿ,raising,"[{""word"": ""رفع"", ""voweled"": ""رَفَعَ"", ""en"": ""to raise"", ""accept"": [""رَفَعَ"", ""رَفْع""]}, {""word"": ""رفع"", ""voweled"": ""رَفْع"", ""en"": ""raising; lifting"", ""accept"": [""رَفَعَ"", ""رَفْع""]}, {""word"": ""مرتفع"", ""voweled"": ""مُرْتَفِع"", ""en"": ""high; elevated""}, {""word"": ""ارتفاع"", ""voweled"": ""اِرْتِفَاع"", ""en"": ""rise; height""}, {""word"": ""رافعة"", ""voweled"": ""رَافِعَة"", ""en"": ""crane; lever"", ""plural"": {""word"": ""رافعات"", ""voweled"": ""رَافِعَات""}}]","[{""word"": ""رفيع"", ""voweled"": ""رَفِيع"", ""en"": ""high-ranking; fine""}, {""word"": ""مرفوع"", ""voweled"": ""مَرْفُوع"", ""en"": ""raised; nominative""}]",[]
82,ن ز ل,n-z-l,descending,"[{""word"": ""نزل"", ""voweled"": ""نَزَلَ"", ""en"": ""to descend""}, {""word"": ""نزول"", ""voweled"": ""نُزُول"", ""en"": ""descent""}, {""word"": ""منزل"", ""voweled"": ""مَنْزِل"", ""en"": ""home"", ""plural"": {""word"": ""منازل"", ""voweled"": ""مَنَازِل""}}, {""word"": ""تنزيل"", ""voweled"": ""تَنْزِيل"", ""en"": ""download; discount""}, {""word"": ""نازل"", ""voweled"": ""نَازِل"", ""en"": ""descending""}]","[{""word"": ""نزيل"", ""voweled"": ""نَزِيل"", ""en"": ""guest; inmate"", ""plural"": {""word"": ""نزلاء"", ""voweled"": ""نُزَلَاء""}}, {""word"": ""منزلة"", ""voweled"": ""مَنْزِلَة"", ""en"": ""rank; standing""}]",[]
83,و ض ع,w-ḍ-ʿ,"placing, situation","[{""word"": ""وضع"", ""voweled"": ""وَضَعَ"", ""en"": ""to place"", ""accept"": [""وَضَعَ"", ""وَضْع""]}, {""word"": ""وضع"", ""voweled"": ""وَضْع"", ""en"": ""situation"", ""accept"": [""وَضَعَ"", ""وَضْع""]}, {""word"": ""موضوع"", ""voweled"": ""مَوْضُوع"", ""en"": ""topic; subject"", ""plural"": {""word"": ""مواضيع"", ""voweled"": ""مَوَاضِيع""}}, {""word"": ""تواضع"", ""voweled"": ""تَوَاضُع"", ""en"": ""humility""}, {""word"": ""مواضع"", ""voweled"": ""مَوَاضِع"", ""en"": ""positions""}]","[{""word"": ""وضعية"", ""voweled"": ""وَضْعِيَّة"", ""en"": ""position; posture""}, {""word"": ""متواضع"", ""voweled"": ""مُتَوَاضِع"", ""en"": ""humble; modest""}]",[]
84,ف ك ر,f-k-r,thinking,"[{""word"": ""فكر"", ""voweled"": ""فَكَّرَ"", ""en"": ""to think"", ""accept"": [""فَكَّرَ"", ""فِكْر""]}, {""word"": ""فكرة"", ""voweled"": ""فِكْرَة"", ""en"": ""idea"", ""plural"": {""word"": ""أفكار"", ""voweled"": ""أَفْكَار"", ""forms"": [""أَفْكَار"", ""فِكَر""]}}, {""word"": ""فكر"", ""voweled"": ""فِكْر"", ""en"": ""thought"", ""accept"": [""فَكَّرَ"", ""فِكْر""]}, {""word"": ""تفكير"", ""voweled"": ""تَفْكِير"", ""en"": ""thinking""}, {""word"": ""مفكر"", ""voweled"": ""مُفَكِّر"", ""en"": ""thinker; intellectual"", ""plural"": {""word"": ""مفكرون"", ""voweled"": ""مُفَكِّرُون""}}]","[{""word"": ""فكري"", ""voweled"": ""فِكْرِيّ"", ""en"": ""intellectual (adj.)""}]",[]
85,ذ ك ر,dh-k-r,"remembering, mentioning","[{""word"": ""ذكر"", ""voweled"": ""ذَكَرَ"", ""en"": ""to mention"", ""accept"": [""ذَكَر"", ""ذَكَرَ"", ""ذِكْر""]}, {""word"": ""ذاكرة"", ""voweled"": ""ذَاكِرَة"", ""en"": ""memory""}, {""word"": ""تذكرة"", ""voweled"": ""تَذْكِرَة"", ""en"": ""ticket"", ""plural"": {""word"": ""تذاكر"", ""voweled"": ""تَذَاكِر""}}, {""word"": ""ذكرى"", ""voweled"": ""ذِكْرَى"", ""en"": ""memory; anniversary"", ""plural"": {""word"": ""ذكريات"", ""voweled"": ""ذِكْرَيَات""}}, {""word"": ""تذكر"", ""voweled"": ""تَذَكُّر"", ""en"": ""remembering""}]","[{""word"": ""مذكرات"", ""voweled"": ""مُذَكِّرَات"", ""en"": ""memoirs; notes""}, {""word"": ""ذكر"", ""voweled"": ""ذِكْر"", ""en"": ""mention; remembrance (dhikr)"", ""accept"": [""ذَكَر"", ""ذَكَرَ"", ""ذِكْر""]}, {""word"": ""ذكر"", ""voweled"": ""ذَكَر"", ""en"": ""male"", ""plural"": {""word"": ""ذكور"", ""voweled"": ""ذُكُور""}, ""accept"": [""ذَكَر"", ""ذَكَرَ"", ""ذِكْر""]}, {""word"": ""تذكير"", ""voweled"": ""تَذْكِير"", ""en"": ""reminder; reminding""}]",[]
86,ش ع ر,sh-ʿ-r,"feeling, poetry, hair","[{""word"": ""شعر"", ""voweled"": ""شَعَرَ"", ""en"": ""to feel"", ""accept"": [""شَعَرَ"", ""شَعْر"", ""شِعْر""]}, {""word"": ""شعور"", ""voweled"": ""شُعُور"", ""en"": ""feeling"", ""plural"": {""word"": ""مشاعر"", ""voweled"": ""مَشَاعِر""}}, {""word"": ""شعر"", ""voweled"": ""شِعْر"", ""en"": ""poetry"", ""accept"": [""شَعَرَ"", ""شَعْر"", ""شِعْر""]}, {""word"": ""شاعر"", ""voweled"": ""شَاعِر"", ""en"": ""poet"", ""plural"": {""word"": ""شعراء"", ""voweled"": ""شُعَرَاء""}}, {""word"": ""شعر"", ""voweled"": ""شَعْر"", ""en"": ""hair"", ""accept"": [""شَعَرَ"", ""شَعْر"", ""شِعْر""]}]","[{""word"": ""شعار"", ""voweled"": ""شِعَار"", ""en"": ""slogan; emblem"", ""plural"": {""word"": ""شعارات"", ""voweled"": ""شِعَارَات""}}]",[]
87,ح ق ق,ḥ-q-q,"truth, right","[{""word"": ""حق"", ""voweled"": ""حَقّ"", ""en"": ""right; truth"", ""plural"": {""word"": ""حقوق"", ""voweled"": ""حُقُوق""}}, {""word"": ""حقيقة"", ""voweled"": ""حَقِيقَة"", ""en"": ""truth; reality"", ""plural"": {""word"": ""حقائق"", ""voweled"": ""حَقَائِق""}}, {""word"": ""تحقيق"", ""voweled"": ""تَحْقِيق"", ""en"": ""investigation""}, {""word"": ""حقيقي"", ""voweled"": ""حَقِيقِيّ"", ""en"": ""real""}, {""word"": ""تحقق"", ""voweled"": ""تَحَقُّق"", ""en"": ""verification""}]","[{""word"": ""محقق"", ""voweled"": ""مُحَقِّق"", ""en"": ""investigator"", ""plural"": {""word"": ""محققون"", ""voweled"": ""مُحَقِّقُون""}}, {""word"": ""استحقاق"", ""voweled"": ""اِسْتِحْقَاق"", ""en"": ""entitlement; due date""}]",[]
88,ص د ق,ṣ-d-q,truthfulness,"[{""word"": ""صدق"", ""voweled"": ""صِدْق"", ""en"": ""honesty""}, {""word"": ""صديق"", ""voweled"": ""صَدِيق"", ""en"": ""friend"", ""plural"": {""word"": ""أصدقاء"", ""voweled"": ""أَصْدِقَاء""}}, {""word"": ""صداقة"", ""voweled"": ""صَدَاقَة"", ""en"": ""friendship""}, {""word"": ""تصديق"", ""voweled"": ""تَصْدِيق"", ""en"": ""ratification; believing""}, {""word"": ""صادق"", ""voweled"": ""صَادِق"", ""en"": ""honest""}]","[{""word"": ""صدقة"", ""voweled"": ""صَدَقَة"", ""en"": ""charity; alms"", ""plural"": {""word"": ""صدقات"", ""voweled"": ""صَدَقَات""}}, {""word"": ""مصداقية"", ""voweled"": ""مِصْدَاقِيَّة"", ""en"": ""credibility""}]",[]
89,و ث ق,w-th-q,"trust, documentation","[{""word"": ""وثيقة"", ""voweled"": ""وَثِيقَة"", ""en"": ""document"", ""plural"": {""word"": ""وثائق"", ""voweled"": ""وَثَائِق""}}, {""word"": ""توثيق"", ""voweled"": ""تَوْثِيق"", ""en"": ""documentation""}, {""word"": ""ثقة"", ""voweled"": ""ثِقَة"", ""en"": ""trust; confidence""}, {""word"": ""ميثاق"", ""voweled"": ""مِيثَاق"", ""en"": ""charter; pact"", ""plural"": {""word"": ""مواثيق"", ""voweled"": ""مَوَاثِيق""}}, {""word"": ""موثوق"", ""voweled"": ""مَوْثُوق"", ""en"": ""reliable""}]","[{""word"": ""موثق"", ""voweled"": ""مُوَثَّق"", ""en"": ""documented; certified""}]",[]
90,ع ط و,ʿ-ṭ-w,giving,"[{""word"": ""أعطى"", ""voweled"": ""أَعْطَى"", ""en"": ""to give""}, {""word"": ""عطاء"", ""voweled"": ""عَطَاء"", ""en"": ""giving; bid""}, {""word"": ""إعطاء"", ""voweled"": ""إِعْطَاء"", ""en"": ""giving""}, {""word"": ""معطيات"", ""voweled"": ""مُعْطَيَات"", ""en"": ""data; givens""}, {""word"": ""عطية"", ""voweled"": ""عَطِيَّة"", ""en"": ""gift"", ""plural"": {""word"": ""عطايا"", ""voweled"": ""عَطَايَا"", ""forms"": [""عَطَايَا"", ""عَطِيَّات""]}}]",[],[]
91,أ خ ذ,ʾ-kh-dh,taking,"[{""word"": ""أخذ"", ""voweled"": ""أَخَذَ"", ""en"": ""to take"", ""accept"": [""أَخَذَ"", ""أَخْذ""]}, {""word"": ""أخذ"", ""voweled"": ""أَخْذ"", ""en"": ""taking"", ""accept"": [""أَخَذَ"", ""أَخْذ""]}, {""word"": ""مأخوذ"", ""voweled"": ""مَأْخُوذ"", ""en"": ""taken""}, {""word"": ""اتخاذ"", ""voweled"": ""اِتِّخَاذ"", ""en"": ""adopting (measures)""}, {""word"": ""مؤاخذة"", ""voweled"": ""مُؤَاخَذَة"", ""en"": ""blame; reproach""}]","[{""word"": ""مأخذ"", ""voweled"": ""مَأْخَذ"", ""en"": ""fault; source"", ""plural"": {""word"": ""مآخذ"", ""voweled"": ""مَآخِذ""}}]",[]
92,ح ف ظ,ḥ-f-ẓ,"preserving, memorizing","[{""word"": ""حفظ"", ""voweled"": ""حَفِظَ"", ""en"": ""to memorize; to preserve"", ""accept"": [""حَفِظَ"", ""حِفْظ""]}, {""word"": ""حفظ"", ""voweled"": ""حِفْظ"", ""en"": ""preservation; memorization"", ""accept"": [""حَفِظَ"", ""حِفْظ""]}, {""word"": ""محفظة"", ""voweled"": ""مِحْفَظَة"", ""en"": ""wallet; portfolio"", ""plural"": {""word"": ""محافظ"", ""voweled"": ""مَحَافِظ""}}, {""word"": ""محافظة"", ""voweled"": ""مُحَافَظَة"", ""en"": ""province; preserving"", ""plural"": {""word"": ""محافظات"", ""voweled"": ""مُحَافَظَات""}}, {""word"": ""حافظ"", ""voweled"": ""حَافِظ"", ""en"": ""keeper; memorizer""}]","[{""word"": ""محفوظات"", ""voweled"": ""مَحْفُوظَات"", ""en"": ""archives""}, {""word"": ""محفوظ"", ""voweled"": ""مَحْفُوظ"", ""en"": ""preserved; memorized""}, {""word"": ""تحفظ"", ""voweled"": ""تَحَفُّظ"", ""en"": ""reservation; caution"", ""plural"": {""word"": ""تحفظات"", ""voweled"": ""تَحَفُّظَات""}}]",[]
93,خ د م,kh-d-m,serving,"[{""word"": ""خدم"", ""voweled"": ""خَدَمَ"", ""en"": ""to serve""}, {""word"": ""خدمة"", ""voweled"": ""خِدْمَة"", ""en"": ""service"", ""plural"": {""word"": ""خدمات"", ""voweled"": ""خَدَمَات"", ""forms"": [""خِدْمَات"", ""خَدَمَات""]}}, {""word"": ""خادم"", ""voweled"": ""خَادِم"", ""en"": ""servant; server""}, {""word"": ""استخدام"", ""voweled"": ""اِسْتِخْدَام"", ""en"": ""use; employment""}, {""word"": ""مستخدم"", ""voweled"": ""مُسْتَخْدِم"", ""en"": ""user"", ""accept"": [""مُسْتَخْدَم"", ""مُسْتَخْدِم""]}]","[{""word"": ""مستخدم"", ""voweled"": ""مُسْتَخْدَم"", ""en"": ""employee"", ""plural"": {""word"": ""مستخدمون"", ""voweled"": ""مُسْتَخْدَمُون""}, ""accept"": [""مُسْتَخْدَم"", ""مُسْتَخْدِم""]}]",[]
94,ن ت ج,n-t-j,producing,"[{""word"": ""نتيجة"", ""voweled"": ""نَتِيجَة"", ""en"": ""result"", ""plural"": {""word"": ""نتائج"", ""voweled"": ""نَتَائِج""}}, {""word"": ""إنتاج"", ""voweled"": ""إِنْتَاج"", ""en"": ""production""}, {""word"": ""منتج"", ""voweled"": ""مُنْتَج"", ""en"": ""product"", ""plural"": {""word"": ""منتجات"", ""voweled"": ""مُنْتَجَات""}, ""accept"": [""مُنْتَج"", ""مُنْتِج""]}, {""word"": ""منتج"", ""voweled"": ""مُنْتِج"", ""en"": ""producer"", ""plural"": {""word"": ""منتجون"", ""voweled"": ""مُنْتِجُون""}, ""accept"": [""مُنْتَج"", ""مُنْتِج""]}, {""word"": ""استنتاج"", ""voweled"": ""اِسْتِنْتَاج"", ""en"": ""conclusion; inference""}]","[{""word"": ""ناتج"", ""voweled"": ""نَاتِج"", ""en"": ""output; result (math)"", ""plural"": {""word"": ""نواتج"", ""voweled"": ""نَوَاتِج""}}, {""word"": ""إنتاجية"", ""voweled"": ""إِنْتَاجِيَّة"", ""en"": ""productivity""}]",[]
95,س و ق,s-w-q,"driving, market","[{""word"": ""سوق"", ""voweled"": ""سُوق"", ""en"": ""market"", ""plural"": {""word"": ""أسواق"", ""voweled"": ""أَسْوَاق""}}, {""word"": ""سائق"", ""voweled"": ""سَائِق"", ""en"": ""driver"", ""plural"": {""word"": ""سائقون"", ""voweled"": ""سَائِقُون""}}, {""word"": ""تسويق"", ""voweled"": ""تَسْوِيق"", ""en"": ""marketing""}, {""word"": ""سياقة"", ""voweled"": ""سِيَاقَة"", ""en"": ""driving""}, {""word"": ""سياق"", ""voweled"": ""سِيَاق"", ""en"": ""context""}]","[{""word"": ""تسوق"", ""voweled"": ""تَسَوُّق"", ""en"": ""shopping""}]",[]
